year;month;day;hour;minute;doy;NETRAD;SW_IN_F;PPFD_IN;PPFD_OUT;SW_OUT;LW_IN_F;LW_OUT;SW_ALB;PPDF_ALB;H_F_MDS;LE_F_MDS;G_F_MDS;NEE_VUT_REF;GPP_NT_VUT_REF;RECO_NT_VUT_REF;GPP_DT_VUT_REF;RECO_DT_VUT_REF;TA_F;TS_F_MDS_1;TS_F_MDS_2;TS_F_MDS_3;TS_F_MDS_4;TS_F_MDS_5;TS_F_MDS_6;SWC_F_MDS_1;SWC_F_MDS_2;SWC_F_MDS_3;SWC_F_MDS_4;SWC_F_MDS_5;WS_F;WD;NIGHT;P_F;SW_IN_F_QC;LW_IN_F_QC;H_F_MDS_QC;LE_F_MDS_QC;G_F_MDS_QC;NEE_VUT_REF_QC;VPD_F_QC;TA_F_QC;P_F_QC;SWC_F_MDS_1_QC;SWC_F_MDS_2_QC;SWC_F_MDS_3_QC;SWC_F_MDS_4_QC;SWC_F_MDS_5_QC;TS_F_MDS_1_QC;TS_F_MDS_2_QC;TS_F_MDS_3_QC;TS_F_MDS_4_QC;TS_F_MDS_5_QC;TS_F_MDS_6_QC
2021;1;1;0;30;1;32.690;0.000;-0.190;-0.020;-17.470;314.700;299.480;;;3.471;1.546;-2.670;0.114;0.079;0.192;0.000;0.287;-4.360;0.460;0.440;0.560;0.720;1.220;1.710;71.020;69.840;77.420;92.770;90.150;1.370;308.600;1;0.008;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;1;0;1;28.450;0.000;-0.170;0.000;-15.160;312.770;299.480;;;2.680;1.546;-2.990;0.114;0.079;0.192;0.000;0.287;-4.360;0.470;0.440;0.560;0.720;1.220;1.710;71.020;69.840;77.410;92.770;90.150;1.170;302.900;1;0.008;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;1;30;1;30.420;0.000;-0.210;-0.010;-15.510;315.960;301.050;;;1.760;1.516;-2.950;0.122;0.076;0.198;0.000;0.290;-4.060;0.470;0.440;0.560;0.720;1.220;1.710;71.010;69.830;77.400;92.770;90.150;0.940;308.100;1;0.006;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;2;0;1;30.790;0.000;-0.180;-0.020;-15.900;317.070;302.180;;;2.650;1.533;-1.950;0.125;0.076;0.201;0.000;0.292;-3.880;0.460;0.440;0.560;0.720;1.210;1.710;71.010;69.830;77.400;92.770;90.150;0.940;299.300;1;0.006;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;2;30;1;27.380;0.000;-0.180;0.000;-13.660;317.060;303.340;;;1.685;1.265;-2.600;0.096;0.119;0.216;0.000;0.300;-3.150;0.470;0.440;0.560;0.710;1.210;1.710;71.010;69.830;77.390;92.770;90.150;1.290;357.400;1;0.007;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;3;0;1;21.580;0.000;-0.180;-0.010;-12.050;313.510;303.980;;;1.360;1.129;-2.930;0.105;0.117;0.222;0.000;0.304;-2.820;0.470;0.440;0.560;0.710;1.220;1.710;71.010;69.830;77.380;92.770;90.150;0.480;305.600;1;0.007;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;3;30;1;21.780;0.000;-0.160;-0.010;-14.780;311.810;304.810;;;1.369;1.076;-2.560;0.101;0.117;0.218;0.000;0.302;-3.000;0.470;0.440;0.560;0.710;1.220;1.710;71.010;69.830;77.370;92.770;90.150;0.490;296.800;1;0.006;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;4;0;1;20.180;0.000;-0.180;-0.010;-16.870;308.480;305.170;;;1.287;0.909;-2.630;0.108;0.113;0.221;0.000;0.304;-2.860;0.470;0.440;0.560;0.710;1.210;1.710;71.010;69.830;77.360;92.770;90.150;0.920;299.100;1;0.006;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;4;30;1;17.750;0.000;-0.230;-0.010;-16.370;306.360;304.980;;;1.110;0.800;-2.260;0.113;0.109;0.222;0.000;0.304;-2.840;0.470;0.440;0.560;0.720;1.220;1.710;71.000;69.830;77.350;92.770;90.150;0.810;312.700;1;0.004;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;5;0;1;14.430;0.000;-0.200;-0.010;-14.910;304.550;305.030;;;0.859;0.800;-2.770;0.113;0.111;0.223;0.000;0.305;-2.750;0.470;0.440;0.560;0.710;1.210;1.710;71.000;69.820;77.340;92.770;90.150;1.040;292.900;1;0.004;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;5;30;1;8.150;0.000;-0.240;0.010;-12.950;298.720;303.520;;;1.158;0.995;-2.610;0.114;0.102;0.216;0.000;0.301;-3.110;0.470;0.440;0.550;0.710;1.210;1.700;71.000;69.820;77.330;92.770;90.150;1.020;270.600;1;0.003;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;6;0;1;13.730;0.000;-0.170;0.010;-16.400;299.760;302.430;;;1.178;0.907;-2.950;0.115;0.099;0.214;0.000;0.299;-3.240;0.470;0.440;0.550;0.710;1.210;1.710;71.000;69.820;77.320;92.770;90.150;0.730;297.000;1;0.003;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;6;30;1;14.980;0.000;-0.210;-0.020;-14.610;304.790;304.420;;;0.379;0.399;-1.990;0.143;0.078;0.221;0.000;0.304;-2.860;0.470;0.440;0.550;0.710;1.210;1.700;71.000;69.820;77.310;92.770;90.150;1.470;289.800;1;0.002;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;7;0;1;13.040;0.000;-0.250;0.000;-13.180;304.610;304.750;;;0.315;0.273;-2.830;0.143;0.080;0.223;0.000;0.305;-2.750;0.470;0.440;0.550;0.710;1.210;1.700;70.990;69.820;77.290;92.770;90.150;1.500;293.100;1;0.002;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;7;30;1;2.750;0.000;-0.240;0.010;-13.290;291.230;301.770;;;0.092;-0.028;-2.140;0.143;0.081;0.224;0.000;0.305;-2.720;0.470;0.440;0.550;0.710;1.210;1.700;70.990;69.820;77.280;92.770;90.150;1.750;304.900;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;8;0;1;-3.170;0.000;-0.230;0.010;-13.160;278.990;295.320;;;0.347;0.464;-2.370;0.128;0.089;0.217;0.000;0.301;-3.080;0.470;0.440;0.550;0.710;1.210;1.700;70.990;69.820;77.270;92.770;90.150;1.480;314.700;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;8;30;1;3.850;0.000;-0.150;0.010;-12.240;291.090;299.480;;;-0.525;-0.314;-2.120;0.140;0.081;0.221;0.000;0.303;-2.880;0.470;0.440;0.550;0.710;1.210;1.700;70.990;69.810;77.260;92.770;90.150;1.999;;1;0.011;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;9;0;1;1.210;0.000;0.280;0.270;-12.450;287.810;299.050;;;-0.287;-0.114;-2.550;0.120;0.099;0.219;0.000;0.302;-2.980;0.470;0.440;0.550;0.710;1.210;1.700;70.990;69.810;77.250;92.760;90.150;1.400;296.100;1;0.011;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;9;30;1;8.150;0.000;1.170;2.130;-12.050;297.830;301.730;;;-1.630;-0.618;-2.840;0.140;0.078;0.218;0.000;0.302;-3.000;0.470;0.440;0.550;0.710;1.210;1.700;70.980;69.810;77.230;92.760;90.150;1.210;289.300;1;0.006;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;10;0;1;5.497;0.757;3.840;6.030;-9.810;296.060;301.130;;;-1.750;-0.618;-2.780;0.140;0.077;0.217;0.037;0.301;-3.070;0.470;0.440;0.550;0.710;1.210;1.700;70.980;69.810;77.220;92.770;90.150;1.570;293.800;0;0.006;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;10;30;1;5.259;2.339;6.770;10.860;-6.310;298.570;301.960;;;-0.784;-0.618;-2.020;0.140;0.081;0.221;0.085;0.304;-2.870;0.470;0.440;0.550;0.710;1.210;1.700;70.980;69.800;77.210;92.770;90.150;2.040;310.200;0;0.004;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;11;0;1;-13.960;2.580;13.190;21.910;0.150;282.670;299.060;;;-3.160;-0.618;-2.610;0.140;0.080;0.220;0.091;0.303;-2.900;0.470;0.440;0.550;0.710;1.210;1.700;70.980;69.800;77.200;92.770;90.150;2.160;311.200;0;0.004;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;11;30;1;-9.040;4.970;14.980;25.140;2.430;287.940;299.520;;;-3.490;-0.618;-2.760;0.140;0.079;0.219;0.128;0.303;-2.950;0.470;0.430;0.550;0.710;1.210;1.700;70.980;69.800;77.190;92.770;90.150;2.270;313.600;0;0.002;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;12;0;1;-18.820;6.930;17.260;29.110;4.390;276.270;297.630;;;-6.700;-0.618;-2.430;0.140;0.079;0.219;0.146;0.302;-2.970;0.470;0.440;0.550;0.710;1.210;1.700;70.970;69.800;77.180;92.770;90.150;2.260;323.100;0;0.002;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;12;30;1;-34.990;6.470;18.040;30.640;5.220;252.580;288.820;;;-7.840;-0.510;-2.730;0.151;0.059;0.210;0.142;0.297;-3.420;0.470;0.430;0.550;0.710;1.210;1.700;70.970;69.800;77.160;92.770;90.150;1.920;326.100;0;0.003;0;0;0;1;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;13;0;1;-17.180;4.800;15.820;27.180;2.330;267.280;286.930;;;-0.339;0.397;-2.220;0.113;0.091;0.204;0.126;0.294;-3.720;0.470;0.440;0.550;0.710;1.210;1.700;70.970;69.800;77.140;92.770;90.150;1.320;309.100;0;0.003;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;13;30;1;-17.030;3.590;12.540;21.590;0.880;271.410;291.150;;;-0.559;-0.510;-2.410;0.148;0.059;0.207;0.109;0.295;-3.590;0.470;0.440;0.550;0.710;1.210;1.700;70.970;69.800;77.130;92.770;90.150;1.600;317.500;0;0.004;0;0;1;1;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;14;0;1;-19.088;2.382;6.850;11.440;-4.840;259.700;286.010;;;-0.552;-0.023;-2.830;0.190;0.013;0.203;0.086;0.293;-3.790;0.470;0.440;0.550;0.710;1.210;1.700;70.970;69.790;77.120;92.770;90.150;1.510;315.100;0;0.004;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;14;30;1;-20.080;0.000;2.020;3.640;-11.430;242.510;274.020;;;-2.270;0.534;-2.780;0.165;0.032;0.197;0.000;0.290;-4.090;0.470;0.440;0.550;0.710;1.210;1.700;70.970;69.790;77.110;92.770;90.150;1.030;314.100;1;0.003;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;15;0;1;-18.250;0.000;0.330;0.530;-12.720;235.870;266.840;;;5.441;1.181;-2.890;0.086;0.078;0.170;0.000;0.273;-5.600;0.460;0.430;0.550;0.710;1.210;1.700;70.960;69.790;77.100;92.770;90.150;0.930;281.900;1;0.003;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;15;30;1;-14.280;0.000;-0.090;0.010;-14.520;231.350;260.150;;;1.000;1.086;-2.250;0.086;0.046;0.138;0.000;0.250;-7.530;0.460;0.430;0.550;0.710;1.210;1.700;70.960;69.790;77.090;92.770;90.150;0.320;294.100;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;16;0;1;-7.400;0.000;-0.110;-0.010;-15.920;234.130;257.450;;;-6.582;1.476;-2.670;0.053;0.050;0.107;0.000;0.226;-9.640;0.460;0.430;0.550;0.710;1.210;1.690;70.960;69.790;77.080;92.770;90.150;0.390;262.100;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;16;30;1;-6.640;0.000;-0.070;0.000;-15.980;235.550;258.170;;;-4.557;1.098;-3.150;0.090;0.026;0.122;0.000;0.238;-8.580;0.450;0.430;0.550;0.710;1.210;1.690;70.960;69.790;77.060;92.770;90.150;0.310;309.500;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;17;0;1;-10.920;0.000;-0.060;-0.010;-15.320;229.160;255.400;;;-4.981;1.216;-3.070;0.063;0.050;0.117;0.000;0.234;-8.920;0.450;0.430;0.550;0.710;1.210;1.690;70.960;69.790;77.050;92.770;90.150;0.170;279.100;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;17;30;1;-12.760;0.000;-0.110;-0.010;-15.100;225.360;253.220;;;-3.050;1.045;-2.960;0.091;0.028;0.126;0.000;0.241;-8.300;0.440;0.430;0.550;0.710;1.210;1.690;70.960;69.780;77.040;92.770;90.150;0.380;270.900;1;0.001;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;18;0;1;-14.860;0.000;-0.080;-0.020;-14.060;222.010;250.930;;;-6.230;1.241;-3.140;0.060;0.051;0.115;0.000;0.233;-9.050;0.440;0.430;0.550;0.710;1.210;1.690;70.960;69.780;77.030;92.770;90.150;0.330;219.500;1;0.001;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;18;30;1;-8.980;0.000;-0.080;0.010;-14.020;226.940;249.940;;;-6.336;1.363;-2.090;0.053;0.051;0.108;0.000;0.227;-9.550;0.430;0.420;0.550;0.710;1.210;1.690;70.950;69.780;76.960;92.770;90.150;0.390;142.600;1;0.000;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;19;0;1;5.910;0.000;-0.050;0.000;-15.500;246.110;255.700;;;-13.868;0.212;-1.970;0.184;-0.100;0.085;0.000;0.205;-11.360;0.430;0.420;0.550;0.710;1.210;1.690;70.950;69.780;76.930;92.770;90.150;0.310;213.500;1;0.000;0;0;1;2;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;19;30;1;17.870;0.000;-0.100;0.010;-16.030;271.950;270.110;;;-9.313;0.892;-2.910;0.043;0.060;0.103;0.000;0.222;-9.940;0.420;0.420;0.550;0.710;1.200;1.690;70.950;69.780;76.910;92.770;90.150;0.260;82.700;1;0.000;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;20;0;1;11.890;0.000;-0.110;-0.010;-12.380;280.160;280.650;;;1.872;0.836;-3.170;0.090;0.042;0.140;0.000;0.252;-7.410;0.410;0.410;0.550;0.710;1.210;1.690;70.950;69.780;76.900;92.770;90.150;1.230;272.000;1;0.000;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;20;30;1;2.610;0.000;-0.130;0.000;-9.440;279.310;286.140;;;-1.600;0.901;-3.950;0.093;0.065;0.167;0.000;0.271;-5.770;0.410;0.410;0.550;0.710;1.200;1.690;70.950;69.770;76.890;92.770;90.150;1.500;260.600;1;0.001;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;21;0;1;3.240;0.000;-0.230;0.020;-9.980;281.940;288.680;;;-1.500;0.875;-3.410;0.095;0.066;0.170;0.000;0.273;-5.570;0.410;0.410;0.550;0.710;1.200;1.690;70.950;69.770;76.880;92.760;90.150;1.150;262.400;1;0.001;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;21;30;1;2.820;0.000;-0.230;0.000;-10.740;281.470;289.390;;;-1.790;0.867;-3.290;0.097;0.063;0.171;0.000;0.273;-5.550;0.410;0.410;0.550;0.710;1.200;1.690;70.940;69.770;76.870;92.760;90.150;1.260;259.900;1;0.002;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;22;0;1;-1.320;0.000;-0.230;-0.010;-10.030;277.530;288.880;;;-1.610;0.839;-3.500;0.103;0.056;0.172;0.000;0.274;-5.490;0.410;0.410;0.550;0.710;1.200;1.690;70.940;69.770;76.860;92.770;90.150;1.410;257.800;1;0.002;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;22;30;1;-2.370;0.000;-0.160;0.000;-12.900;271.040;286.310;;;2.980;0.741;-3.850;0.105;0.050;0.170;0.000;0.272;-5.610;0.410;0.410;0.550;0.710;1.200;1.690;70.940;69.770;76.850;92.760;90.150;1.000;295.200;1;0.005;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;23;0;1;0.070;0.000;-0.180;-0.010;-11.080;278.140;289.150;;;2.849;0.674;-3.220;0.109;0.052;0.177;0.000;0.277;-5.180;0.410;0.410;0.550;0.710;1.200;1.690;70.940;69.770;76.840;92.770;90.150;1.280;269.400;1;0.005;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;1;23;30;1;1.950;0.000;-0.220;0.000;-10.380;282.000;290.430;;;2.218;0.584;-4.380;0.109;0.051;0.176;0.000;0.277;-5.240;0.410;0.410;0.550;0.710;1.200;1.690;70.940;69.770;76.830;92.770;90.150;2.357;;1;0.004;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;0;0;2;-8.890;0.000;-0.260;-0.010;-11.180;266.790;286.860;;;1.958;0.504;-4.400;0.109;0.048;0.174;0.000;0.275;-5.350;0.420;0.410;0.550;0.710;1.200;1.690;70.940;69.770;76.820;92.770;90.150;1.230;257.800;1;0.004;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;0;30;2;-3.950;0.000;-0.180;-0.010;-11.230;267.690;282.870;;;2.104;0.456;-4.020;0.114;0.030;0.164;0.000;0.269;-5.920;0.420;0.410;0.550;0.710;1.200;1.690;70.930;69.770;76.800;92.770;90.150;1.370;266.200;1;0.002;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;1;0;2;-2.380;0.000;-0.160;-0.010;-10.750;275.560;288.690;;;-4.630;0.446;-2.590;0.119;0.031;0.174;0.000;0.275;-5.360;0.420;0.410;0.550;0.710;1.200;1.690;70.930;69.760;76.790;92.770;90.150;1.640;275.200;1;0.002;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;1;30;2;-0.750;0.000;-0.190;0.000;-10.090;276.900;287.740;;;-1.110;0.406;-3.480;0.128;0.028;0.172;0.000;0.274;-5.480;0.420;0.410;0.550;0.710;1.200;1.690;70.930;69.760;76.780;92.760;90.150;1.280;255.700;1;0.002;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;2;0;2;-3.730;0.000;-0.180;0.000;-10.380;273.390;287.500;;;-1.230;0.371;-3.230;0.128;0.029;0.173;0.000;0.274;-5.440;0.420;0.410;0.550;0.710;1.200;1.690;70.930;69.760;76.770;92.770;90.150;1.310;265.600;1;0.002;0;0;0;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;2;30;2;-2.950;0.000;-0.260;0.000;-10.740;273.150;286.840;;;1.287;0.287;-3.340;0.135;0.031;0.174;0.000;0.276;-5.340;0.420;0.410;0.550;0.710;1.200;1.680;70.930;69.760;76.760;92.770;90.160;1.300;266.800;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;3;0;2;0.040;0.000;-0.230;-0.010;-11.210;275.900;287.070;;;1.228;0.201;-3.150;0.140;0.024;0.173;0.000;0.275;-5.430;0.420;0.410;0.550;0.710;1.200;1.680;70.930;69.760;76.750;92.770;90.160;0.960;251.500;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;3;30;2;-9.380;0.000;-0.180;-0.010;-11.020;262.330;282.730;;;1.241;0.145;-3.390;0.151;0.012;0.163;0.000;0.268;-6.000;0.430;0.410;0.550;0.700;1.200;1.680;70.920;69.760;76.740;92.760;90.160;1.030;256.700;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;4;0;2;-0.290;0.000;-0.160;-0.010;-13.290;265.270;278.850;;;0.890;0.073;-2.820;0.145;0.012;0.157;0.000;0.264;-6.340;0.430;0.410;0.550;0.710;1.200;1.680;70.920;69.760;76.730;92.760;90.150;0.610;262.000;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;4;30;2;-13.680;0.000;-0.120;0.010;-15.840;243.270;272.790;;;0.514;-0.001;-3.710;0.160;-0.011;0.149;0.000;0.258;-6.830;0.430;0.410;0.550;0.710;1.200;1.680;70.920;69.760;76.720;92.760;90.150;0.520;296.100;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;5;0;2;-25.600;0.000;-0.130;0.010;-15.160;215.330;256.090;;;-4.830;-0.049;-2.920;0.169;-0.037;0.132;0.000;0.246;-7.900;0.430;0.410;0.550;0.710;1.200;1.680;70.920;69.750;76.700;92.770;90.160;0.280;185.300;1;0.001;0;0;1;1;0.000;1;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;5;30;2;-21.750;0.000;-0.100;0.010;-14.200;213.520;249.470;;;-10.327;0.040;-3.350;0.108;-0.009;0.107;0.000;0.226;-9.640;0.430;0.420;0.550;0.710;1.200;1.680;70.920;69.750;76.680;92.770;90.160;0.490;157.200;1;0.000;0;0;1;1;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;6;0;2;-15.050;0.000;-0.050;0.000;-16.980;211.820;243.850;;;-14.635;0.202;-3.250;0.196;-0.117;0.079;0.000;0.199;-11.870;0.420;0.410;0.550;0.710;1.200;1.680;70.910;69.750;76.660;92.770;90.150;0.210;287.800;1;0.000;0;0;1;2;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;6;30;2;-15.640;0.000;-0.050;0.000;-14.700;211.280;241.620;;;-19.682;0.129;-3.460;0.222;-0.148;0.073;0.000;0.194;-12.370;0.420;0.410;0.550;0.700;1.200;1.680;70.910;69.740;76.650;92.770;90.160;0.140;221.900;1;0.000;0;0;1;2;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;7;0;2;-16.780;0.000;-0.050;-0.010;-11.720;212.730;241.230;;;-19.603;0.317;-3.200;0.146;-0.075;0.071;0.000;0.191;-12.610;0.420;0.410;0.550;0.710;1.200;1.680;70.910;69.740;76.640;92.770;90.160;0.620;150.900;1;0.000;0;0;1;2;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;7;30;2;-14.450;0.000;-0.050;0.000;-13.390;211.690;239.530;;;-7.277;0.297;-4.090;0.058;0.002;0.059;0.000;0.178;-13.720;0.410;0.410;0.550;0.710;1.200;1.680;70.910;69.740;76.620;92.770;90.160;0.290;144.200;1;0.000;0;0;1;2;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;8;0;2;-12.060;0.000;-0.040;-0.010;-14.270;212.960;239.290;;;-4.110;0.297;-3.730;0.058;-0.003;0.055;0.000;0.172;-14.200;0.400;0.410;0.550;0.700;1.200;1.680;70.900;69.740;76.600;92.770;90.160;0.280;262.200;1;0.000;0;0;1;2;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2021;1;2;8;30;2;-10.040;0.000;-0.020;0.000;-15.110;214.390;239.540;;;-4.110;0.297;-3.720;0.058;-0.004;0.053;0.000;0.170;-14.390;0.400;0.400;0.550;0.700;1.200;1.680;70.900;69.740;76.590;92.760;90.160;0.310;147.800;1;0.000;0;0;1;2;0.000;2;0;0;2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
